"card","reports","age","income","share","expenditure","owner","selfemp","dependents","months","majorcards","active"
1,0,42.16667,9.9999,0.01342865,0,0,0,2,27,1,9
1,0,21.83333,4,0.042129,140.3467,1,0,0,32,1,3
1,0,22.16667,3,0.2154031,127.5342,1,0,0,120,1,11
1,0,40.83333,2.4,0.004230769,46.60583,1,0,0,52,1,3
0,0,18.66667,4,0.0568759,0,0,0,0,51,1,1
1,0,34.33333,4.52,0.0032,11.16667,1,1,4,54,1,6
1,0,25.58333,2.8,0.3252597,131.8783,0,0,0,2,1,7
1,0,42.08333,4.7,0.01847894,71.95917,1,1,0,8,1,2
1,0,27.83333,1.875,0.0289768,120.4033,1,0,1,24,0,1
0,2,41.91667,3,0.0006956522,238.8558,0,0,3,204,0,0
1,5,31.08333,3.7,0.0002857143,114.6017,0,0,3,192,0,7
0,14,48.25,2,6e-04,0,1,0,0,108,1,1
1,0,24.25,2.13,0.1136103,192.7208,0,0,0,13,1,5
0,0,25.66667,1.7,0.0006485084,0,0,0,0,8,0,0
1,0,21.83333,1.68,0.05652018,156.5833,0,0,0,12,0,1
1,0,20.58333,2.64,0.07661773,140.2992,0,0,0,9,1,1
1,0,24,1.968,0.006455285,180.1775,1,0,1,114,0,23
1,0,22,1.8,0.03947758,108.3967,0,0,3,12,1,8
0,0,25.25,1.5896,0.0003636364,271.5533,1,0,0,180,1,23
1,0,42,4,0.01785056,53.30167,0,1,1,37,0,6
1,0,54.41667,9,0.06282978,282.5633,1,0,2,16,1,6
1,0,41.5,3.8,0.0001276596,263.3275,0,0,1,67,0,4
1,0,26.5,7.125,0.02533895,149.7,1,0,1,241,1,8
0,2,33.16667,5.97,0.000201005,0,1,0,0,62,1,19
1,0,52.16667,7.8,0.006685513,43.03917,1,0,3,60,0,2
1,0,30.33333,2.5,0.0356228,245.3517,1,1,2,12,1,9
1,0,23.5,2.8,0.0128,15.41667,1,0,1,12,1,7
1,0,21.08333,3.5822,0.004301356,4.583333,0,0,0,14,1,11
1,1,44.5,3,0.01795825,11.00417,1,0,1,36,0,13
0,3,34.75,2.67,0.0004494382,0,0,0,3,30,1,25
1,2,50,2.3,0.03620279,129.3933,1,0,1,264,1,12
1,0,53.33333,3.5,0.000244898,30.36917,1,1,1,108,0,5
1,1,43.25,1.95,0.03733385,60.58417,0,0,2,27,1,0
0,5,42.83333,3.7,0.0003243243,0,1,0,0,37,1,3
1,0,24.91667,1.97,0.23063,461.26,0,0,1,24,0,2
1,0,27.16667,2.6796,0.007277206,15.58333,0,0,4,36,1,3
1,0,23.08333,3,0.007129848,38.71416,0,0,0,3,1,7
1,0,34.83333,2.7,0.04111704,92.26334,0,0,0,18,1,3
1,1,30.16667,4.1,0.07818501,474.5,1,0,0,13,1,0
0,0,22.5,7.701,0.1013325,214.065,1,0,2,23,1,9
1,0,37.25,2.8,0.0007718034,0,0,0,0,5,1,0
1,4,25.08333,3.12,8e-04,110.3033,0,0,1,7,1,6
1,0,30.66667,2.3,0.02855478,54.64667,1,0,1,28,1,6
0,1,24.58333,3.67,0.000631579,4.583333,0,0,0,57,0,3
1,0,47.75,6.5,0.006635826,13.91667,1,0,0,4,1,6
1,0,26.5,2.35,0.0005106383,320.5167,0,0,0,11,1,11
0,0,48.91667,1.8,0.0006666667,0,1,0,2,48,1,13
1,0,25.33333,3.24,0.02563117,38.83333,0,0,0,30,1,19
0,1,32.25,3.48,0.05121034,0,0,0,0,14,0,13
1,0,24.91667,2.938,0.02812798,115.4167,1,0,0,126,1,9
0,1,29.16667,3.5,0.0004848485,0,0,1,1,12,1,3
0,5,28.58333,2.5,0.00048,0,0,0,0,60,0,7
0,0,22.08333,2.5,0.00048,0,0,0,0,18,1,0
1,0,28.25,2.55,0.2395941,509.0542,1,0,0,90,1,3
0,0,33.25,6,0.0003243243,0,1,0,1,72,1,0
1,0,61,2.6,0.2685167,105.095,1,0,1,372,1,24
1,0,39.08333,3.9,0.02909975,58.99083,0,0,0,14,1,7
0,1,21.91667,2.5,0.00048,143.4292,0,0,2,24,1,10
1,1,30.33333,3.3,0.05832653,119,0,0,3,48,0,3
0,3,32.75,3,0.0251939,0,1,0,1,32,1,7
1,0,36.16667,7.8,0.03396795,88.23333,1,0,1,24,1,3
0,0,34.16667,4.3,0.0005825243,0,0,0,1,12,1,2
1,0,29,5.5,0.062952,288.3633,1,0,2,18,1,26
1,0,23.25,2.16,0.02572685,429.905,1,0,0,7,1,9
0,3,31.83333,3.1,0.1304742,0,0,0,1,52,1,3
1,0,33.66667,2.1,0.090862,78.25584,0,0,2,12,1,0
1,1,30.25,7.6,0.04906355,74.72667,1,0,6,11,1,0
1,0,43.5,1.7472,0.07401385,107.7642,1,0,0,93,1,0
1,0,30.08333,3.75,0.004564103,6.5,1,0,2,96,1,2
1,0,21.41667,5,0.0501734,209.0558,1,0,0,10,1,10
1,0,26.66667,2.8896,0.08017754,0,0,0,1,12,0,0
1,0,39.66667,3,0.06417074,318.51,1,0,0,17,1,9
1,0,24.25,4,0.1076917,434.125,0,0,0,7,0,2
1,0,20.66667,1.7,0.03099,105.045,0,0,0,12,1,4
1,0,32,5.5,0.1535069,0,0,0,1,30,1,13
1,0,22.83333,2.6,0.04541571,132.1292,0,0,0,61,1,3
1,0,21.91667,3.3,0.2326392,65.81834,1,0,1,188,1,19
1,0,34.16667,2.37,0.06781389,106.7208,0,0,2,38,1,3
0,0,23.91667,1.2,0.3860019,0,0,0,0,33,0,1
1,0,49.41667,5,0.04437958,88.5925,0,1,0,14,1,19
1,0,22.91667,2,0.1700255,34.09167,1,0,2,12,1,21
1,1,44,5.8,0.07990742,386.0525,0,0,4,6,1,16
1,0,57.08333,4.8,0.05726571,613.6425,0,0,0,128,0,3
1,0,29.33333,2.3,0.04004043,33.5075,0,0,2,24,1,5
1,0,29.75,4.65,0.01516022,173.4675,0,0,1,60,1,1
1,0,27.08333,3.12,0.03396795,494.8875,0,0,0,100,1,3
1,0,33.83333,3.8,0.0048,7.083333,1,0,3,153,1,14
1,0,62.91667,2.55,0.06282978,0,1,0,2,20,0,6
1,1,37.08333,5.49,0.1409972,289.0442,1,0,1,4,1,19
1,0,28.08333,5.47,0.03251895,102.9767,1,0,0,26,0,0
1,0,47.75,1.95,0.006635826,0,1,0,0,4,0,1
1,1,23.58333,3.9,0.01830487,58.99083,1,0,1,14,0,22
1,0,39.66667,2.8,0.1275373,318.51,1,0,1,156,1,9
0,0,22.83333,3.1475,0.000381255,0,1,0,2,19,1,0
1,1,35.58333,3.58,0.0519919,154.8592,1,0,2,123,1,7
1,0,25.16667,2.5,0.03124,84.275,1,0,0,6,1,17
1,0,61.08333,3.7,0.03697246,219.2717,1,0,1,252,1,5
1,0,29.16667,2.5,0.0767256,256.6642,1,0,0,24,1,20
1,0,35.33333,2.85,0.054018,135.045,0,0,1,6,1,8
1,0,24.25,3.5,0.08595,250.5208,0,0,1,13,1,4
1,0,26.5,4.56,0.0005106383,188.6208,0,0,0,144,1,11
1,0,46.25,6.8,0.01036232,40.19917,1,1,0,48,1,1
1,2,35.5,2.9,0.02071958,214.065,1,0,2,23,1,2
1,7,32.91667,2.5,0.0003705076,512.0125,0,0,0,50,1,16
1,1,35.16667,3.84,0.0003125,37.015,0,0,1,38,0,8
1,0,32.83333,1.32,0.115781,42.63083,1,0,1,6,1,2
1,0,44.5,3.9,0.2008407,493.7333,0,0,0,180,1,13
0,0,45.75,2.04,0.0005882353,0,0,0,0,35,1,11
1,1,30.16667,7.2904,0.03820546,474.5,1,0,4,49,1,14
1,0,41.66667,7.5,0.04870107,304.3817,1,0,0,222,1,8
1,0,34.58333,2,0.02910716,63.55167,0,0,0,111,1,6
1,0,21.91667,1.632,0.07412688,238.3275,0,0,3,4,1,5
1,0,40.75,7.29,0.1065361,311.1425,1,0,2,78,1,9
1,0,52.33333,2.2,0.04216182,77.04667,1,0,1,243,1,3
1,0,27.83333,5,0.03251895,120.4033,0,0,1,26,1,0
1,0,30.83333,2.6,0.062629,156.5725,0,0,1,76,1,3
1,0,37.66667,2,0.0608075,101.2625,1,0,0,42,1,3
1,0,20.5,5.14,0.008949417,37.58333,1,0,0,13,1,2
1,0,40.08333,2.2224,8e-04,737.0808,0,0,1,5,1,14
1,0,51.66667,3,0.1375511,201.6583,0,0,0,28,1,12
1,0,35.83333,5,0.0791488,625.3675,1,0,1,42,1,11
1,0,51.75,2.5,0.193378,84.9025,1,0,1,60,0,7
0,0,27.08333,1.5,8e-04,0,1,0,0,57,1,3
1,0,26.83333,2.1,0.0005714286,67.66666,0,0,0,24,1,0
1,0,20.5,1.6,0.08383188,111.6925,0,0,0,38,1,0
1,0,53.33333,2.2,0.1403464,257.3017,0,0,0,108,0,1
1,1,48.66667,6,0.1877141,675.7708,1,0,2,36,1,19
0,0,23.08333,2.6,0.000201005,0,1,1,1,37,1,19
1,0,30.33333,2.6,0.1757384,245.3308,1,0,0,10,1,4
1,0,27.83333,2.8725,0.005848564,160.875,1,1,0,24,1,11
1,0,24.5,2.6,0.1113085,602.9208,0,0,2,12,1,6
1,0,33.75,2.9,5e-04,253.3658,1,0,2,11,1,20
1,0,25.08333,2.65,0.04245641,110.3033,0,0,2,3,1,6
1,0,26.91667,2.95,0.02667368,118.7133,1,0,0,230,1,19
1,0,65.91666,3.86,0.04856136,118.7133,0,0,1,36,1,4
1,2,21.58333,2.95,0.0004067797,225.4592,0,0,1,72,1,3
1,0,35,4.1125,0.02962699,101.2008,0,0,0,3,1,23
1,0,46,6,0.01336725,43.97417,1,0,2,84,1,46
1,0,34.33333,6,0.017262,10.42,1,0,0,48,1,19
1,0,23.83333,3,0.08901566,0,0,0,2,18,1,5
1,0,33.66667,1.875,0.002742857,126.0225,0,0,1,14,1,1
1,0,30.08333,2.6,0.08070774,12.08333,0,0,4,51,0,16
0,0,28.16667,3.5,0.096285,0,0,0,0,14,0,1
1,1,24.58333,3.6208,0.04983705,150.2917,0,0,0,97,1,11
1,0,37.75,2.5,0.0444384,324.6183,0,0,0,28,1,11
0,1,46,5.4,2e-04,268.7242,1,0,2,84,1,7
1,0,29.5,2.8,0.1067854,249.1658,0,0,0,109,1,5
1,0,35.33333,3.9,0.054018,50.08333,1,0,1,6,1,8
1,0,46.91667,3.4,0.03101882,38.83333,0,0,0,511,1,4
1,0,21.83333,2.08,0.02623077,56.33333,1,0,3,5,1,9
1,0,57.66667,2.4,0.01216667,105.125,1,0,2,122,1,13
1,1,23.41667,1.95,0.03098154,204.0875,1,0,0,3,1,4
1,0,40,2.1,0.18692,327.11,0,0,0,15,1,6
0,0,28.41667,2,4e-04,0,0,0,1,108,1,0
1,1,33.83333,3.2,0.06567625,471.345,1,0,2,25,1,8
1,4,37.5,2.6,0.0004615385,213,1,0,4,40,1,20
1,0,40.33333,3.067,0.1596997,408.0825,0,0,2,18,0,0
1,0,30.16667,2.19,0.0146375,33.57083,0,0,0,6,1,11
1,0,31.25,3.7,0.05487727,404.49,1,0,2,30,1,13
1,0,41.16667,5,0.0204978,85.24083,1,0,1,13,0,16
1,0,29.83333,2.8,0.0714951,145.7192,1,0,3,38,1,8
1,0,28,4.2,0.2248926,8.333333,1,0,0,59,1,13
1,0,42.91667,4,0.07213325,63.91667,0,0,2,7,1,9
1,0,32.41667,3.2,0.1192053,317.4642,0,0,0,30,1,5
1,0,34.16667,2.6,0.0249386,1902,0,0,0,4,1,7
1,0,34.75,2.34,0.1833799,0,1,0,0,42,0,11
1,0,21.91667,3,0.004701667,67.39833,0,0,1,18,1,4
1,0,21.25,1.75,0.1932389,281.8067,0,0,3,38,1,8
1,0,22.33333,2.8,0.0006666667,101.8542,1,0,3,232,1,6
1,2,34.83333,6.5,0.009956279,762.3784,0,0,0,12,1,1
1,0,23.83333,7.88,0.0001522843,188.105,0,1,4,16,1,21
1,2,26.83333,2.6,0.04216182,77.04667,1,0,0,17,1,16
1,0,21.5,2.42,0.05948347,119.625,0,0,0,56,1,10
1,0,37.58333,4.475,0.0002681564,86.54667,0,0,0,48,0,6
1,0,40.75,3,0.03113791,94.11833,1,0,0,166,1,7
1,1,53.58333,2.9623,0.0998702,832.2433,1,0,1,93,1,3
0,0,45.41667,1.95,0.0006153846,0,0,0,0,14,1,15
1,2,28.41667,6.5,0.01421429,32.66667,1,0,0,27,1,19
1,1,39.75,3.805,0.109958,26,1,0,0,51,1,7
0,0,40.75,5.97,0.000201005,0,1,0,1,67,0,16
1,0,38.58333,2.25,0.1139598,379.8658,0,0,0,12,1,4
1,0,32.91667,2.5,0.245766,620.055,0,0,1,3,1,0
0,0,31,2.4,5e-04,0,0,0,0,42,1,0
1,0,29.08333,1.51,0.01286856,48.615,0,0,0,7,1,1
1,0,33.75,1.8,0.1306339,0,1,0,2,12,1,2
0,4,38,1.7095,0.0007019597,0,0,0,2,408,1,3
1,0,21.91667,3.12,0.02673974,122.1917,1,0,2,6,1,0
1,0,25.66667,3.5,0.1319654,113.0992,0,0,1,27,1,8
0,1,46,6,2e-04,129.3333,1,0,4,72,1,21
1,0,23.75,2.6,0.0007654037,640.6533,1,0,1,6,1,4
1,0,37.58333,2.9623,0.002227999,42.69083,0,0,0,93,0,13
1,1,27.75,2.7,0.02533895,149.7,1,0,1,9,1,8
1,0,21.66667,2.2845,0.1106287,0,1,0,2,18,1,7
1,0,26.16667,1.95,0.0012,3.166667,0,0,2,96,1,2
0,5,25.08333,4.5,0.02107955,0,1,0,0,36,1,3
1,0,33.75,1.8,0.0006666667,634.8625,1,0,2,303,1,13
1,0,27.33333,3,0.06718982,57.30667,1,0,1,6,1,5
1,0,36.5,4,0.01701942,0,1,0,1,28,1,12
0,0,19.16667,2.25,0.2829621,0,0,0,3,192,1,0
0,0,34.25,1.2,0.001,0,0,0,1,15,0,0
0,2,28.16667,4.288,0.0002798507,0,1,0,3,24,0,13
1,0,32,1.5,8e-04,0,1,0,2,20,1,17
1,0,30.75,2.1,0.1966748,308.0492,1,0,2,22,1,19
0,1,21.5,1.78,0.0006741573,0,0,0,3,5,1,16
1,0,36.58333,2.54,0.06521378,137.8692,1,0,2,25,1,7
0,4,34.83333,1.65,0.0007272727,0,0,0,0,36,1,5
1,0,41.58333,3.54,0.006866666,19.59,0,0,0,3,1,12
0,2,37.33333,3.9,0.0916836,0,0,0,0,36,1,4
1,0,44.58333,2.5,0.1660628,215.8817,1,0,2,12,1,18
1,0,34,3,0.016826,41.48167,0,0,2,4,1,10
1,1,35.83333,2.4,0.030976,77.35667,0,0,2,27,1,2
1,0,40.75,8,0.04682963,105.2833,0,0,0,15,1,0
1,0,34.33333,3.7,0.4745083,583.7783,0,1,3,5,1,2
1,5,27.66667,3,0.1059863,264.9658,1,0,1,44,0,11
1,0,38.5,5.97,0.1840382,950.8641,1,0,0,60,1,19
1,0,40.33333,2.8,0.03813821,88.73917,0,0,1,19,0,0
0,1,24,2,4e-04,0,0,0,0,24,0,4
1,0,32.08333,2.4,0.1426413,285.2825,1,0,0,96,0,8
1,0,28.08333,4.03,0.04091464,133.0683,0,0,3,18,1,0
1,0,31.66667,2.25,4e-04,20.08333,0,0,0,12,1,0
1,0,24.83333,2.9,0.00165,4.583333,0,1,2,48,1,8
1,0,27.83333,2.2348,0.06038794,100.1433,0,0,1,133,0,5
1,0,26.08333,3.5,0.2004224,320.6758,1,1,1,52,1,9
1,0,34.41667,5,0.062952,288.3633,1,0,2,108,1,3
1,1,32.58333,2.16,0.068022,0,1,0,1,38,0,8
0,0,26.58333,4.0104,0.07969773,0,0,0,0,42,1,3
1,0,27.25,2.2375,0.07033833,93.91917,0,0,2,27,1,4
0,1,39.75,7,5e-04,641.4216,1,0,0,72,0,6
0,0,40.16667,2.4,5e-04,0,0,0,3,72,1,6
1,0,25.66667,3.54,0.1535069,19.59,0,0,1,3,1,0
0,0,32.08333,3,0.0005555556,0,0,0,0,12,1,0
1,2,26,7,0.221529,0,0,0,0,13,0,31
1,3,36.91667,2.2,0.06938273,0,1,0,0,54,0,14
1,0,22.66667,2.5,0.00048,1028.961,1,0,0,6,1,0
1,0,22.41667,3.9,0.07661206,192.8183,0,0,0,48,1,8
1,0,25.83333,3.9,0.01664154,0,1,0,0,15,1,6
1,0,24.16667,3.7,0.1285348,219.2717,0,0,1,12,1,5
1,0,32.66667,1.7472,0.001833333,107.7642,1,0,0,25,1,2
1,0,32.58333,2.47,0.09478866,195.0233,1,0,3,94,1,28
1,0,26.75,3.7,0.03311243,101.7633,1,0,2,6,1,18
1,0,44.5,4,0.1139494,59.19417,1,0,0,36,1,13
0,2,36.41667,3.1,0.0003870968,0,1,0,1,66,1,0
1,0,22.91667,4.8,0.08007,232.2758,0,0,1,2,1,4
1,0,61,1.5,0.2685167,510.09,1,0,1,24,1,24
1,0,25.58333,2.8,0.3252597,20.18083,0,0,0,24,1,7
1,0,22,1.8504,0.6214691,906.3092,0,0,0,2,1,0
1,0,29.83333,3.7,0.05832653,119,0,0,0,8,1,7
1,0,27.08333,1.89,0.04420053,0,0,0,0,51,1,10
0,0,35.41667,3.5,0.0004316547,0,0,0,0,6,0,0
0,0,24.25,2.7885,0.02122066,0,0,0,1,4,1,4
1,0,39.5,9.9999,0.06579486,523.125,1,1,0,28,1,0
1,4,24.75,2.2,0.1550486,284.2558,1,0,0,12,1,6
1,3,22.83333,3.5,0.04541571,132.1292,0,0,0,106,1,3
1,0,35.83333,2.42,0.104378,119.625,1,0,0,36,1,2
1,0,45,1.8,0.03137474,99.10333,1,0,1,11,1,3
1,0,41,6.825,0.1168532,664.6025,0,1,2,14,1,0
1,0,27.83333,2.7,0.1686141,100.1433,1,0,1,12,1,0
0,2,40,4.5,0.00048,0,0,0,5,2,1,18
1,0,26.58333,3.2,0.1257411,366.745,0,0,2,12,1,0
1,0,27.91667,4,0.02146354,123.2225,1,0,2,2,1,0
1,0,45.66667,2.308,0.02599111,77.80666,0,0,1,94,1,5
0,0,20.16667,1.7,0.1538495,0,0,0,1,28,0,0
1,0,46.16667,3,0.07673334,164.6433,1,0,2,120,0,15
0,0,39.75,1.875,0.0714951,0,1,0,3,38,0,2
1,0,27.5,3.2,0.0006470588,82.3425,1,0,0,23,1,0
1,0,32.91667,3,0.030976,77.35667,0,0,2,18,1,2
1,0,24.25,3.75,0.09367893,292.6633,1,0,0,18,1,11
0,0,35,3.15,0.0002637363,0,1,0,3,36,1,15
1,0,62.91667,3.5,0.06670286,0,0,0,0,6,0,13
1,0,24.16667,2.51,0.1149625,182.6092,0,0,0,12,1,12
1,0,24.08333,2.25,0.1584613,297.0317,0,0,0,28,1,9
1,0,22.83333,2,0.0229845,37.97417,1,0,0,12,1,11
0,0,25.25,1.6,0.00075,395.585,1,0,0,41,1,0
1,0,23.83333,4,0.07481575,204.5367,0,0,0,4,1,7
1,0,55.33333,5.5,0.05220054,148.3725,1,0,3,300,1,0
1,0,27.25,3.15,0.06493969,508.2908,0,0,0,19,1,9
1,0,27,2.675,0.03482019,122.9292,0,0,0,48,1,1
1,1,21.08333,1.5344,0.004301356,0,0,0,0,18,1,11
1,0,24.25,5.1,0.2969185,430.6925,1,0,1,38,1,10
1,0,22.58333,2.25,0.01111111,0,1,0,4,12,1,10
1,0,25.58333,3.41,0.04420053,17.785,1,0,0,51,1,12
1,0,40.83333,3.7,0.1221516,8.333333,1,0,1,52,1,0
0,0,34.58333,3.4,0.0003529412,0,0,0,0,12,1,1
1,0,27.08333,2.5224,0.1375309,474.065,1,0,0,12,1,18
0,4,36.41667,3,4e-04,0,0,0,0,74,1,6
1,0,34.75,7,0.1696612,721.06,1,0,3,15,1,9
